docid,source,sourcetype,target,targettype,type
1,"Benchmarking Vector, Graph And Hybrid Retrieval Augmented Generation (Rag) Pipelines For Open Radio Access Networks (Oran)",Paper,Fine-Tuning,Topic,COVERS
1,"Benchmarking Vector, Graph And Hybrid Retrieval Augmented Generation (Rag) Pipelines For Open Radio Access Networks (Oran)",Paper,Telecom-Specific Tasks,Topic,COVERS
1,"Benchmarking Vector, Graph And Hybrid Retrieval Augmented Generation (Rag) Pipelines For Open Radio Access Networks (Oran)",Paper,Retrieval-Augmented Generation,Topic,COVERS
1,"Benchmarking Vector, Graph And Hybrid Retrieval Augmented Generation (Rag) Pipelines For Open Radio Access Networks (Oran)",Paper,Vector Rag,Topic,COVERS
1,"Benchmarking Vector, Graph And Hybrid Retrieval Augmented Generation (Rag) Pipelines For Open Radio Access Networks (Oran)",Paper,Graphrag,Topic,COVERS
1,"Benchmarking Vector, Graph And Hybrid Retrieval Augmented Generation (Rag) Pipelines For Open Radio Access Networks (Oran)",Paper,Hybrid Graphrag,Topic,COVERS
1,"Benchmarking Vector, Graph And Hybrid Retrieval Augmented Generation (Rag) Pipelines For Open Radio Access Networks (Oran)",Paper,In-Context Learning,Topic,COVERS
1,"Benchmarking Vector, Graph And Hybrid Retrieval Augmented Generation (Rag) Pipelines For Open Radio Access Networks (Oran)",Paper,Domain Adaptation,Topic,COVERS
1,"Benchmarking Vector, Graph And Hybrid Retrieval Augmented Generation (Rag) Pipelines For Open Radio Access Networks (Oran)",Paper,Knowledge Graphs,Topic,COVERS
1,"Benchmarking Vector, Graph And Hybrid Retrieval Augmented Generation (Rag) Pipelines For Open Radio Access Networks (Oran)",Paper,Dual Retrieval Strategies,Topic,COVERS
1,"Benchmarking Vector, Graph And Hybrid Retrieval Augmented Generation (Rag) Pipelines For Open Radio Access Networks (Oran)",Paper,Multi-Hop Reasoning,Topic,COVERS
1,"Benchmarking Vector, Graph And Hybrid Retrieval Augmented Generation (Rag) Pipelines For Open Radio Access Networks (Oran)",Paper,Factual Grounding,Topic,COVERS
1,"Benchmarking Vector, Graph And Hybrid Retrieval Augmented Generation (Rag) Pipelines For Open Radio Access Networks (Oran)",Paper,Evaluation,Topic,COVERS
1,"Benchmarking Vector, Graph And Hybrid Retrieval Augmented Generation (Rag) Pipelines For Open Radio Access Networks (Oran)",Paper,Oran Specifications,Topic,COVERS
1,"Benchmarking Vector, Graph And Hybrid Retrieval Augmented Generation (Rag) Pipelines For Open Radio Access Networks (Oran)",Paper,Vector-Based Retrieval,Topic,COVERS
1,"Benchmarking Vector, Graph And Hybrid Retrieval Augmented Generation (Rag) Pipelines For Open Radio Access Networks (Oran)",Paper,Faithfulness,Topic,COVERS
1,"Benchmarking Vector, Graph And Hybrid Retrieval Augmented Generation (Rag) Pipelines For Open Radio Access Networks (Oran)",Paper,Answer Relevance,Topic,COVERS
1,"Benchmarking Vector, Graph And Hybrid Retrieval Augmented Generation (Rag) Pipelines For Open Radio Access Networks (Oran)",Paper,Context Relevance,Topic,COVERS
1,"Benchmarking Vector, Graph And Hybrid Retrieval Augmented Generation (Rag) Pipelines For Open Radio Access Networks (Oran)",Paper,Factual Correctness,Topic,COVERS
1,Generative Ai,Topic,Wireless Networks,Topic,RELATED_TO
1,Autonomous Optimization,Topic,Wireless Networks,Topic,RELATED_TO
1,Large Language Models,Topic,Generative Ai,Topic,RELATED_TO
1,Large Language Models,Topic,Ran Intelligent Controller,Topic,RELATED_TO
1,Large Language Models,Topic,Xapps,Topic,RELATED_TO
1,Large Language Models,Topic,Rapps,Topic,RELATED_TO
1,Ran Intelligent Controller,Topic,Open Radio Access Networks,Topic,RELATED_TO
1,Oran Architecture,Topic,Open Radio Access Networks,Topic,RELATED_TO
1,Xapps,Topic,Ran Intelligent Controller,Topic,RELATED_TO
1,Rapps,Topic,Ran Intelligent Controller,Topic,RELATED_TO
1,Api Definitions,Topic,Ran Intelligent Controller,Topic,RELATED_TO
1,Oran Specifications,Topic,Open Radio Access Networks,Topic,RELATED_TO
1,Retrieval-Augmented Generation,Topic,In-Context Learning,Topic,RELATED_TO
1,Domain Adaptation,Topic,In-Context Learning,Topic,RELATED_TO
1,Vector Rag,Topic,Retrieval-Augmented Generation,Topic,RELATED_TO
1,Graphrag,Topic,Retrieval-Augmented Generation,Topic,RELATED_TO
1,Hybrid Graphrag,Topic,Retrieval-Augmented Generation,Topic,RELATED_TO
1,Graphrag,Topic,Knowledge Graphs,Topic,RELATED_TO
1,Hybrid Graphrag,Topic,Knowledge Graphs,Topic,RELATED_TO
1,Hybrid Graphrag,Topic,Dual Retrieval Strategies,Topic,RELATED_TO
1,Vector Rag,Topic,Vector-Based Retrieval,Topic,RELATED_TO
1,Graphrag,Topic,Multi-Hop Reasoning,Topic,RELATED_TO
1,Graphrag,Topic,Factual Grounding,Topic,RELATED_TO
1,Hybrid Graphrag,Topic,Multi-Hop Reasoning,Topic,RELATED_TO
1,Hybrid Graphrag,Topic,Factual Grounding,Topic,RELATED_TO
1,Faithfulness,Topic,Evaluation,Topic,RELATED_TO
1,Answer Relevance,Topic,Evaluation,Topic,RELATED_TO
1,Context Relevance,Topic,Evaluation,Topic,RELATED_TO
1,Factual Correctness,Topic,Evaluation,Topic,RELATED_TO
1,Evaluation,Topic,Oran Specifications,Topic,RELATED_TO
1,Retrieval-Augmented Generation,Topic,Vector-Based Retrieval,Topic,RELATED_TO
1,Fine-Tuning,Topic,Large Language Models,Topic,RELATED_TO
1,Telecom-Specific Tasks,Topic,Open Radio Access Networks,Topic,RELATED_TO
2,Haoran Luo,Author,Graph-R1: Towards Agentic Graphrag Framework Via End-To-End Reinforcement Learning,Paper,AUTHORED
2,Haihong E,Author,Graph-R1: Towards Agentic Graphrag Framework Via End-To-End Reinforcement Learning,Paper,AUTHORED
2,Guanting Chen,Author,Graph-R1: Towards Agentic Graphrag Framework Via End-To-End Reinforcement Learning,Paper,AUTHORED
2,Qika Lin,Author,Graph-R1: Towards Agentic Graphrag Framework Via End-To-End Reinforcement Learning,Paper,AUTHORED
2,Yikai Guo,Author,Graph-R1: Towards Agentic Graphrag Framework Via End-To-End Reinforcement Learning,Paper,AUTHORED
2,Fangzhi Xu,Author,Graph-R1: Towards Agentic Graphrag Framework Via End-To-End Reinforcement Learning,Paper,AUTHORED
2,Zemin Kuang,Author,Graph-R1: Towards Agentic Graphrag Framework Via End-To-End Reinforcement Learning,Paper,AUTHORED
2,Meina Song,Author,Graph-R1: Towards Agentic Graphrag Framework Via End-To-End Reinforcement Learning,Paper,AUTHORED
2,Xiaobao Wu,Author,Graph-R1: Towards Agentic Graphrag Framework Via End-To-End Reinforcement Learning,Paper,AUTHORED
2,Yifan Zhu,Author,Graph-R1: Towards Agentic Graphrag Framework Via End-To-End Reinforcement Learning,Paper,AUTHORED
2,Luu Anh Tuan,Author,Graph-R1: Towards Agentic Graphrag Framework Via End-To-End Reinforcement Learning,Paper,AUTHORED
2,Graph-R1: Towards Agentic Graphrag Framework Via End-To-End Reinforcement Learning,Paper,Retrieval-Augmented Generation (Rag),Topic,COVERS
2,Graph-R1: Towards Agentic Graphrag Framework Via End-To-End Reinforcement Learning,Paper,Graphrag,Topic,COVERS
2,Graph-R1: Towards Agentic Graphrag Framework Via End-To-End Reinforcement Learning,Paper,Graph-R1,Topic,COVERS
2,Graph-R1: Towards Agentic Graphrag Framework Via End-To-End Reinforcement Learning,Paper,End-To-End Reinforcement Learning,Topic,COVERS
2,Graph-R1: Towards Agentic Graphrag Framework Via End-To-End Reinforcement Learning,Paper,Lightweight Knowledge Hypergraph Construction,Topic,COVERS
2,Graph-R1: Towards Agentic Graphrag Framework Via End-To-End Reinforcement Learning,Paper,Entity-Relation Graphs,Topic,COVERS
2,Graph-R1: Towards Agentic Graphrag Framework Via End-To-End Reinforcement Learning,Paper,Chunk-Based Retrieval,Topic,COVERS
2,Graph-R1: Towards Agentic Graphrag Framework Via End-To-End Reinforcement Learning,Paper,Structural Semantics,Topic,COVERS
2,Graph-R1: Towards Agentic Graphrag Framework Via End-To-End Reinforcement Learning,Paper,External Knowledge,Topic,COVERS
2,Graph-R1: Towards Agentic Graphrag Framework Via End-To-End Reinforcement Learning,Paper,Hallucination In Llms,Topic,COVERS
2,Graph-R1: Towards Agentic Graphrag Framework Via End-To-End Reinforcement Learning,Paper,Llms,Topic,COVERS
2,Graph-R1: Towards Agentic Graphrag Framework Via End-To-End Reinforcement Learning,Paper,Long-Context Reasoning,Topic,COVERS
2,Graph-R1: Towards Agentic Graphrag Framework Via End-To-End Reinforcement Learning,Paper,Prompt Design,Topic,COVERS
2,Graph-R1: Towards Agentic Graphrag Framework Via End-To-End Reinforcement Learning,Paper,Multi-Turn Agent-Environment Interaction,Topic,COVERS
2,Graph-R1: Towards Agentic Graphrag Framework Via End-To-End Reinforcement Learning,Paper,End-To-End Reward Mechanism,Topic,COVERS
2,Graph-R1: Towards Agentic Graphrag Framework Via End-To-End Reinforcement Learning,Paper,Reasoning Accuracy,Topic,COVERS
2,Graph-R1: Towards Agentic Graphrag Framework Via End-To-End Reinforcement Learning,Paper,Retrieval Efficiency,Topic,COVERS
2,Graph-R1: Towards Agentic Graphrag Framework Via End-To-End Reinforcement Learning,Paper,Generation Quality,Topic,COVERS
2,Graph-R1: Towards Agentic Graphrag Framework Via End-To-End Reinforcement Learning,Paper,Rag Datasets,Topic,COVERS
2,Graph-R1: Towards Agentic Graphrag Framework Via End-To-End Reinforcement Learning,Paper,High Construction Cost,Topic,COVERS
2,Graph-R1: Towards Agentic Graphrag Framework Via End-To-End Reinforcement Learning,Paper,Fixed One-Time Retrieval,Topic,COVERS
2,Graph-R1: Towards Agentic Graphrag Framework Via End-To-End Reinforcement Learning,Paper,Agentic Graphrag Framework,Topic,COVERS
2,Graph-R1: Towards Agentic Graphrag Framework Via End-To-End Reinforcement Learning,Paper,Agent Process,Topic,COVERS
2,Graphrag,Topic,Retrieval-Augmented Generation (Rag),Topic,RELATED_TO
2,Retrieval-Augmented Generation (Rag),Topic,External Knowledge,Topic,RELATED_TO
2,Retrieval-Augmented Generation (Rag),Topic,Chunk-Based Retrieval,Topic,RELATED_TO
2,Chunk-Based Retrieval,Topic,Structural Semantics,Topic,RELATED_TO
2,Graphrag,Topic,Entity-Relation Graphs,Topic,RELATED_TO
2,Graphrag,Topic,High Construction Cost,Topic,RELATED_TO
2,Graphrag,Topic,Fixed One-Time Retrieval,Topic,RELATED_TO
2,Graphrag,Topic,Long-Context Reasoning,Topic,RELATED_TO
2,Graphrag,Topic,Prompt Design,Topic,RELATED_TO
2,Rag Datasets,Topic,Retrieval-Augmented Generation (Rag),Topic,RELATED_TO
2,Graph-R1,Topic,Graphrag,Topic,RELATED_TO
2,Graph-R1,Topic,End-To-End Reinforcement Learning,Topic,RELATED_TO
2,Graph-R1,Topic,Lightweight Knowledge Hypergraph Construction,Topic,RELATED_TO
2,Graph-R1,Topic,Multi-Turn Agent-Environment Interaction,Topic,RELATED_TO
2,Graph-R1,Topic,End-To-End Reward Mechanism,Topic,RELATED_TO
2,Graph-R1,Topic,Reasoning Accuracy,Topic,RELATED_TO
2,Graph-R1,Topic,Retrieval Efficiency,Topic,RELATED_TO
2,Graph-R1,Topic,Generation Quality,Topic,RELATED_TO
2,Hallucination In Llms,Topic,Llms,Topic,RELATED_TO
2,Retrieval-Augmented Generation (Rag),Topic,Hallucination In Llms,Topic,RELATED_TO
2,Multi-Turn Agent-Environment Interaction,Topic,Agent Process,Topic,RELATED_TO
2,End-To-End Reward Mechanism,Topic,Agent Process,Topic,RELATED_TO
3,Haoyu Han,Author,Rag Vs. Graphrag: A Systematic Evaluation And Key Insights,Paper,AUTHORED
3,Harry Shomer,Author,Rag Vs. Graphrag: A Systematic Evaluation And Key Insights,Paper,AUTHORED
3,Yu Wang,Author,Rag Vs. Graphrag: A Systematic Evaluation And Key Insights,Paper,AUTHORED
3,Yongjia Lei,Author,Rag Vs. Graphrag: A Systematic Evaluation And Key Insights,Paper,AUTHORED
3,Kai Guo,Author,Rag Vs. Graphrag: A Systematic Evaluation And Key Insights,Paper,AUTHORED
3,Zhigang Hua,Author,Rag Vs. Graphrag: A Systematic Evaluation And Key Insights,Paper,AUTHORED
3,Bo Long,Author,Rag Vs. Graphrag: A Systematic Evaluation And Key Insights,Paper,AUTHORED
3,Hui Liu,Author,Rag Vs. Graphrag: A Systematic Evaluation And Key Insights,Paper,AUTHORED
3,Jiliang Tang,Author,Rag Vs. Graphrag: A Systematic Evaluation And Key Insights,Paper,AUTHORED
3,Rag Vs. Graphrag: A Systematic Evaluation And Key Insights,Paper,Retrieval-Augmented Generation (Rag),Topic,COVERS
3,Rag Vs. Graphrag: A Systematic Evaluation And Key Insights,Paper,Graphrag,Topic,COVERS
3,Rag Vs. Graphrag: A Systematic Evaluation And Key Insights,Paper,Llms,Topic,COVERS
3,Rag Vs. Graphrag: A Systematic Evaluation And Key Insights,Paper,Text-Based Data,Topic,COVERS
3,Rag Vs. Graphrag: A Systematic Evaluation And Key Insights,Paper,Structured Data,Topic,COVERS
3,Rag Vs. Graphrag: A Systematic Evaluation And Key Insights,Paper,Knowledge Graphs,Topic,COVERS
3,Rag Vs. Graphrag: A Systematic Evaluation And Key Insights,Paper,Implicit Knowledge,Topic,COVERS
3,Rag Vs. Graphrag: A Systematic Evaluation And Key Insights,Paper,Graph Data,Topic,COVERS
3,Rag Vs. Graphrag: A Systematic Evaluation And Key Insights,Paper,Question Answering,Topic,COVERS
3,Rag Vs. Graphrag: A Systematic Evaluation And Key Insights,Paper,Query-Based Summarization,Topic,COVERS
3,Rag Vs. Graphrag: A Systematic Evaluation And Key Insights,Paper,Text-Based Benchmarks,Topic,COVERS
3,Rag Vs. Graphrag: A Systematic Evaluation And Key Insights,Paper,Systematic Evaluation,Topic,COVERS
3,Rag Vs. Graphrag: A Systematic Evaluation And Key Insights,Paper,Shortcomings Of Current Graphrag Approaches,Topic,COVERS
3,Rag Vs. Graphrag: A Systematic Evaluation And Key Insights,Paper,Future Research,Topic,COVERS
3,Rag Vs. Graphrag: A Systematic Evaluation And Key Insights,Paper,Strategies To Integrate Their Strengths,Topic,COVERS
3,Rag Vs. Graphrag: A Systematic Evaluation And Key Insights,Paper,Downstream Tasks,Topic,COVERS
3,Structured Data,Topic,Knowledge Graphs,Topic,INCLUDES
3,Text-Based Benchmarks,Topic,Question Answering,Topic,INCLUDES
3,Text-Based Benchmarks,Topic,Query-Based Summarization,Topic,INCLUDES
3,Retrieval-Augmented Generation (Rag),Topic,Llms,Topic,RELATED_TO
3,Retrieval-Augmented Generation (Rag),Topic,Text-Based Data,Topic,RELATED_TO
3,Graphrag,Topic,Knowledge Graphs,Topic,RELATED_TO
3,Graphrag,Topic,Structured Data,Topic,RELATED_TO
3,Graphrag,Topic,Text-Based Data,Topic,RELATED_TO
3,Graphrag,Topic,Graph Data,Topic,RELATED_TO
3,Implicit Knowledge,Topic,Text-Based Data,Topic,RELATED_TO
3,Text-Based Benchmarks,Topic,Text-Based Data,Topic,RELATED_TO
3,Systematic Evaluation,Topic,Text-Based Benchmarks,Topic,RELATED_TO
3,Strategies To Integrate Their Strengths,Topic,Downstream Tasks,Topic,RELATED_TO
3,Shortcomings Of Current Graphrag Approaches,Topic,Graphrag,Topic,RELATED_TO
3,Future Research,Topic,Graphrag,Topic,RELATED_TO
4,Kai Guo,Author,Empowering Graphrag With Knowledge Filtering And Integration,Paper,AUTHORED
4,Harry Shomer,Author,Empowering Graphrag With Knowledge Filtering And Integration,Paper,AUTHORED
4,Shenglai Zeng,Author,Empowering Graphrag With Knowledge Filtering And Integration,Paper,AUTHORED
4,Haoyu Han,Author,Empowering Graphrag With Knowledge Filtering And Integration,Paper,AUTHORED
4,Yu Wang,Author,Empowering Graphrag With Knowledge Filtering And Integration,Paper,AUTHORED
4,Jiliang Tang,Author,Empowering Graphrag With Knowledge Filtering And Integration,Paper,AUTHORED
4,Empowering Graphrag With Knowledge Filtering And Integration,Paper,Large Language Models,Topic,COVERS
4,Empowering Graphrag With Knowledge Filtering And Integration,Paper,Natural Language Processing,Topic,COVERS
4,Empowering Graphrag With Knowledge Filtering And Integration,Paper,Graphrag,Topic,COVERS
4,Empowering Graphrag With Knowledge Filtering And Integration,Paper,Graphrag-Fi,Topic,COVERS
4,Empowering Graphrag With Knowledge Filtering And Integration,Paper,Graphrag-Filtering,Topic,COVERS
4,Empowering Graphrag With Knowledge Filtering And Integration,Paper,Graphrag-Integration,Topic,COVERS
4,Empowering Graphrag With Knowledge Filtering And Integration,Paper,Two-Stage Filtering Mechanism,Topic,COVERS
4,Empowering Graphrag With Knowledge Filtering And Integration,Paper,Logits-Based Selection Strategy,Topic,COVERS
4,Empowering Graphrag With Knowledge Filtering And Integration,Paper,External Graphs,Topic,COVERS
4,Empowering Graphrag With Knowledge Filtering And Integration,Paper,Knowledge Gaps,Topic,COVERS
4,Empowering Graphrag With Knowledge Filtering And Integration,Paper,Hallucinations,Topic,COVERS
4,Empowering Graphrag With Knowledge Filtering And Integration,Paper,Retrieval-Augmented Generation,Topic,COVERS
4,Empowering Graphrag With Knowledge Filtering And Integration,Paper,Intrinsic Reasoning,Topic,COVERS
4,Empowering Graphrag With Knowledge Filtering And Integration,Paper,Knowledge Graph Qa Tasks,Topic,COVERS
4,Empowering Graphrag With Knowledge Filtering And Integration,Paper,Noisy And Irrelevant Information,Topic,COVERS
4,Empowering Graphrag With Knowledge Filtering And Integration,Paper,External Knowledge,Topic,COVERS
4,Empowering Graphrag With Knowledge Filtering And Integration,Paper,Excessive Reliance On External Knowledge,Topic,COVERS
4,Graphrag-Fi,Topic,Graphrag-Filtering,Topic,INCLUDES
4,Graphrag-Fi,Topic,Graphrag-Integration,Topic,INCLUDES
4,Graphrag,Topic,Retrieval-Augmented Generation,Topic,RELATED_TO
4,Graphrag,Topic,External Graphs,Topic,RELATED_TO
4,Graphrag-Filtering,Topic,Two-Stage Filtering Mechanism,Topic,RELATED_TO
4,Graphrag-Integration,Topic,Logits-Based Selection Strategy,Topic,RELATED_TO
4,Graphrag-Integration,Topic,Intrinsic Reasoning,Topic,RELATED_TO
4,Graphrag-Integration,Topic,External Knowledge,Topic,RELATED_TO
4,Graphrag-Fi,Topic,Graphrag,Topic,RELATED_TO
4,Large Language Models,Topic,Natural Language Processing,Topic,RELATED_TO
4,Large Language Models,Topic,Knowledge Gaps,Topic,RELATED_TO
4,Large Language Models,Topic,Hallucinations,Topic,RELATED_TO
4,Graphrag,Topic,Noisy And Irrelevant Information,Topic,RELATED_TO
4,Graphrag,Topic,Excessive Reliance On External Knowledge,Topic,RELATED_TO
4,Graphrag-Integration,Topic,Excessive Reliance On External Knowledge,Topic,RELATED_TO
4,Graphrag-Fi,Topic,Knowledge Graph Qa Tasks,Topic,RELATED_TO
5,Travis Thompson,Author,Inference Scaled Graphrag: Improving Multi Hop Question Answering On Knowledge Graphs,Paper,AUTHORED
5,Seung-Hwan Lim,Author,Inference Scaled Graphrag: Improving Multi Hop Question Answering On Knowledge Graphs,Paper,AUTHORED
5,Paul Liu,Author,Inference Scaled Graphrag: Improving Multi Hop Question Answering On Knowledge Graphs,Paper,AUTHORED
5,Ruoying He,Author,Inference Scaled Graphrag: Improving Multi Hop Question Answering On Knowledge Graphs,Paper,AUTHORED
5,Dongkuan Xu,Author,Inference Scaled Graphrag: Improving Multi Hop Question Answering On Knowledge Graphs,Paper,AUTHORED
5,Inference Scaled Graphrag: Improving Multi Hop Question Answering On Knowledge Graphs,Paper,Large Language Models (Llms),Topic,COVERS
5,Inference Scaled Graphrag: Improving Multi Hop Question Answering On Knowledge Graphs,Paper,Language Understanding And Generation,Topic,COVERS
5,Inference Scaled Graphrag: Improving Multi Hop Question Answering On Knowledge Graphs,Paper,Knowledge-Intensive Reasoning Tasks,Topic,COVERS
5,Inference Scaled Graphrag: Improving Multi Hop Question Answering On Knowledge Graphs,Paper,Structured Context,Topic,COVERS
5,Inference Scaled Graphrag: Improving Multi Hop Question Answering On Knowledge Graphs,Paper,Multi-Hop Information,Topic,COVERS
5,Inference Scaled Graphrag: Improving Multi Hop Question Answering On Knowledge Graphs,Paper,Retrieval-Augmented Generation (Rag),Topic,COVERS
5,Inference Scaled Graphrag: Improving Multi Hop Question Answering On Knowledge Graphs,Paper,Graphrag,Topic,COVERS
5,Inference Scaled Graphrag: Improving Multi Hop Question Answering On Knowledge Graphs,Paper,Knowledge Graphs,Topic,COVERS
5,Inference Scaled Graphrag: Improving Multi Hop Question Answering On Knowledge Graphs,Paper,Inference-Scaled Graphrag,Topic,COVERS
5,Inference Scaled Graphrag: Improving Multi Hop Question Answering On Knowledge Graphs,Paper,Inference-Time Compute Scaling,Topic,COVERS
5,Inference Scaled Graphrag: Improving Multi Hop Question Answering On Knowledge Graphs,Paper,Sequential Scaling,Topic,COVERS
5,Inference Scaled Graphrag: Improving Multi Hop Question Answering On Knowledge Graphs,Paper,Deep Chain-Of-Thought Graph Traversal,Topic,COVERS
